UUID,Date/Time,Paddy Area ID,Paddy Height (m),Humidity (gram/kg),Temperature (celcius),Water Level (m),Soil Nitrogen (mg/kg),Soil Phosphorous (mg/kg),Soil Potassium (mg/kg),Soil pH,Paddy Images
1,6/12/2021 12:31,A1,1.43,34.2,33.98,0.1,41.5,37.18,44.58,5.39,./dummy_data/image/paddy.jpg
2,6/12/2021 10:49,A2,0.74,25.39,33.06,0.08,14.64,36.43,42.33,7.04,./dummy_data/image/paddy.jpg
3,6/12/2021 12:43,A3,1.09,25.78,32.32,0.01,16.9,53.64,42.92,7.49,./dummy_data/image/paddy.jpg
4,6/12/2021 13:48,A4,1.51,22.74,29.96,0.07,11.26,57.04,40.34,6.3,./dummy_data/image/paddy.jpg
5,6/12/2021 8:21,A5,1.76,15.93,32.47,0.05,43.09,42.08,37.04,6.01,./dummy_data/image/paddy.jpg
6,6/12/2021 12:53,A6,0.47,30.74,30.34,0.04,40.67,35.78,44.94,6.23,./dummy_data/image/paddy.jpg
7,6/12/2021 14:58,A7,1.27,26.31,26.93,0.08,39.55,36.41,42.62,6.41,./dummy_data/image/paddy.jpg
8,6/12/2021 14:30,A8,0.36,23.02,29.97,0.05,44.23,39.26,41.11,7.4,./dummy_data/image/paddy.jpg
9,6/12/2021 8:15,A9,1.68,21.81,33.45,0.04,29.97,55.39,40.63,6.55,./dummy_data/image/paddy.jpg
10,6/12/2021 8:05,A10,0.31,21.41,34.46,0.09,33.88,57.5,44.04,7.41,./dummy_data/image/paddy.jpg
11,6/19/2021 10:53,A1,1.96,16.42,30.03,0,21.62,46.52,38.6,7.14,./dummy_data/image/paddy.jpg
12,6/19/2021 13:04,A2,0.62,28.46,33.69,0.05,46.16,41.74,35.5,5.47,./dummy_data/image/paddy.jpg
13,6/19/2021 12:54,A3,0.63,15.8,28,0.07,26.57,44.73,41.39,5.21,./dummy_data/image/paddy.jpg
14,6/19/2021 12:45,A4,0.68,33.44,26.06,0.09,11.71,52.09,36.09,7.08,./dummy_data/image/paddy.jpg
15,6/19/2021 10:19,A5,1.72,20.18,34.6,0.09,20.62,56.7,38.75,5.85,./dummy_data/image/paddy.jpg
16,6/19/2021 14:54,A6,0.24,29.05,33.9,0.09,32.02,51.06,35.99,5.36,./dummy_data/image/paddy.jpg
17,6/19/2021 14:19,A7,1.46,30.18,29.75,0.08,32.51,38.29,40.16,5.98,./dummy_data/image/paddy.jpg
18,6/19/2021 13:31,A8,1.38,26.38,33.99,0.07,24.45,44.94,36.69,5.45,./dummy_data/image/paddy.jpg
19,6/19/2021 11:54,A9,1.1,31.88,33.28,0.01,32.51,40.12,42.98,6.36,./dummy_data/image/paddy.jpg
20,6/19/2021 11:19,A10,0.48,26.27,26.83,0.08,24.29,49.53,41.93,7.3,./dummy_data/image/paddy.jpg
21,6/26/2021 9:20,A1,0,18.7,33.99,0.06,28.38,48.23,42.03,6.71,./dummy_data/image/paddy.jpg
22,6/26/2021 11:11,A2,0.55,19.6,32.74,0.03,31.47,45.05,40.75,5.84,./dummy_data/image/paddy.jpg
23,6/26/2021 11:55,A3,0.47,18.31,32.81,0.05,10.72,36.69,41.15,5.41,./dummy_data/image/paddy.jpg
24,6/26/2021 8:55,A4,0.14,26.8,33.99,0.1,26.04,48.95,44.29,6.41,./dummy_data/image/paddy.jpg
25,6/26/2021 12:00,A5,0.12,15.39,28.02,0.03,15.6,43.21,43.04,5.34,./dummy_data/image/paddy.jpg
26,6/26/2021 13:34,A6,0.75,30.24,28.4,0,27.65,38.56,43.3,5.49,./dummy_data/image/paddy.jpg
27,6/26/2021 13:32,A7,1.48,30.68,34.97,0.08,44.26,47.75,42.23,7.06,./dummy_data/image/paddy.jpg
28,6/26/2021 8:35,A8,1.89,31.16,34.68,0.03,20.16,56.68,40.62,6.09,./dummy_data/image/paddy.jpg
29,6/26/2021 14:08,A9,1.13,24.73,29.83,0,32.25,56.2,38.3,7.42,./dummy_data/image/paddy.jpg
30,6/26/2021 12:15,A10,1.37,19.37,25.66,0.07,23.04,58.21,43.49,7.31,./dummy_data/image/paddy.jpg
31,7/3/2021 10:26,A1,0.56,25.32,29.6,0.1,18.9,59.47,36.78,6.14,./dummy_data/image/paddy.jpg
32,7/3/2021 10:57,A2,1.52,18.54,31.22,0.02,30.6,56.92,36.25,5.39,./dummy_data/image/paddy.jpg
33,7/3/2021 9:36,A3,0.31,26.88,30.9,0.1,19.16,48.7,37.07,5.27,./dummy_data/image/paddy.jpg
34,7/3/2021 14:31,A4,1.68,18.02,33.67,0.06,14.73,59.51,43.86,5.25,./dummy_data/image/paddy.jpg
35,7/3/2021 10:29,A5,1.94,18.81,25.27,0.07,23.84,51.09,44.99,6.89,./dummy_data/image/paddy.jpg
36,7/3/2021 12:48,A6,1.06,30.83,30.68,0.05,45.41,51.45,36.38,5.29,./dummy_data/image/paddy.jpg
37,7/3/2021 13:11,A7,1.61,23.9,32.52,0.01,42.29,44.01,37.37,5.21,./dummy_data/image/paddy.jpg
38,7/3/2021 9:54,A8,0.27,30.42,33.62,0.05,10.93,47.03,42.49,5.75,./dummy_data/image/paddy.jpg
39,7/3/2021 8:56,A9,1.31,25.41,29.69,0.03,24.95,43.3,37.94,5.03,./dummy_data/image/paddy.jpg
40,7/3/2021 11:59,A10,0.35,29.12,31.43,0.01,43.85,48.58,44.54,7.44,./dummy_data/image/paddy.jpg
