UUID,Risk ID,PaddyAreaInfo_ID,R_Confidence,Happened,Action
1,2,73,0.67,TRUE,FALSE
2,1,67,0.58,TRUE,TRUE
3,5,8,0.73,TRUE,TRUE
4,1,77,0.29,FALSE,FALSE
5,2,24,0.63,FALSE,TRUE
6,5,42,0.19,TRUE,FALSE
7,5,25,0.78,FALSE,FALSE
8,4,51,0.29,FALSE,FALSE
9,2,27,0.76,FALSE,FALSE
10,4,69,0.63,FALSE,TRUE
11,5,62,0.22,FALSE,FALSE
12,4,49,0.23,TRUE,TRUE
13,1,45,0.29,FALSE,TRUE
14,3,9,0.78,TRUE,FALSE
15,2,18,0.48,TRUE,TRUE
16,3,18,0.14,TRUE,FALSE
17,1,94,0.67,FALSE,TRUE
18,1,1,0.67,TRUE,TRUE
19,1,60,0.44,FALSE,FALSE
20,4,77,0.63,FALSE,TRUE
21,1,91,0.7,TRUE,FALSE
22,2,74,0.66,FALSE,FALSE
23,4,1,0.84,TRUE,FALSE
24,4,66,0.18,TRUE,TRUE
25,1,80,0.53,TRUE,TRUE
26,4,59,0.72,TRUE,TRUE
27,4,85,0.63,TRUE,TRUE
28,2,50,0.25,FALSE,TRUE
29,4,51,0.22,TRUE,TRUE
30,3,83,0.89,FALSE,FALSE
31,2,24,0.73,TRUE,TRUE
32,2,66,0.67,TRUE,TRUE
33,2,42,0.87,TRUE,TRUE
34,4,32,0.39,FALSE,FALSE
35,1,26,0.29,FALSE,TRUE
36,5,2,0.78,TRUE,TRUE
37,3,23,0.18,TRUE,TRUE
38,2,12,0.51,FALSE,FALSE
39,1,8,0.18,TRUE,TRUE
40,5,65,0.87,TRUE,FALSE
41,1,17,0.63,TRUE,TRUE
42,2,74,0.37,FALSE,FALSE
43,2,75,0.7,TRUE,TRUE
44,2,70,0.67,TRUE,FALSE
45,3,98,0.67,TRUE,TRUE
46,5,81,0.87,TRUE,TRUE
47,2,63,0.16,TRUE,TRUE
48,4,30,0.22,FALSE,TRUE
49,5,100,0.63,FALSE,TRUE
50,1,55,0.48,TRUE,FALSE
51,2,96,0.73,TRUE,TRUE
52,5,32,0.54,TRUE,FALSE
53,4,38,0.84,FALSE,FALSE
54,3,28,0.28,FALSE,TRUE
55,5,2,0.73,FALSE,FALSE
56,2,10,0.63,TRUE,FALSE
57,2,44,0.78,TRUE,FALSE
58,5,16,0.67,TRUE,TRUE
59,3,51,0.14,TRUE,TRUE
60,4,17,0.48,TRUE,FALSE
61,2,50,0.72,TRUE,TRUE
62,3,75,0.24,FALSE,FALSE
63,2,44,0.63,FALSE,FALSE
64,4,54,0.43,FALSE,TRUE
65,5,33,0.78,TRUE,TRUE
66,2,2,0.63,TRUE,TRUE
67,5,17,0.87,TRUE,TRUE
68,1,71,0.26,FALSE,TRUE
69,4,86,0.51,TRUE,TRUE
70,1,5,0.87,TRUE,TRUE
71,2,97,0.14,TRUE,FALSE
72,2,21,0.7,TRUE,TRUE
73,5,46,0.43,TRUE,TRUE
74,4,27,0.48,TRUE,FALSE
75,2,6,0.48,TRUE,FALSE
76,1,81,0.25,FALSE,TRUE
77,5,47,0.64,FALSE,FALSE
78,2,58,0.72,TRUE,TRUE
79,1,98,0.42,TRUE,FALSE
80,1,13,0.78,TRUE,FALSE
81,3,20,0.18,TRUE,TRUE
82,2,19,0.58,FALSE,FALSE
83,2,24,0.42,TRUE,FALSE
84,5,58,0.67,TRUE,FALSE
85,4,26,0.44,TRUE,TRUE
86,2,66,0.39,FALSE,FALSE
87,3,39,0.34,FALSE,FALSE
88,4,78,0.59,TRUE,TRUE
89,3,28,0.63,TRUE,TRUE
90,3,37,0.28,FALSE,FALSE
91,4,3,0.29,FALSE,TRUE
92,2,74,0.44,FALSE,TRUE
93,3,66,0.39,FALSE,FALSE
94,5,58,0.78,TRUE,TRUE
95,5,26,0.87,TRUE,TRUE
96,4,15,0.28,FALSE,TRUE
97,3,83,0.63,FALSE,TRUE
98,4,49,0.22,TRUE,TRUE
99,3,43,0.45,FALSE,FALSE
100,3,74,0.25,FALSE,FALSE
101,1,3,0.72,TRUE,TRUE
102,2,95,0.22,TRUE,FALSE
103,3,88,0.29,TRUE,FALSE
104,1,34,0.63,TRUE,TRUE
105,5,29,0.67,TRUE,TRUE
106,1,55,0.19,TRUE,TRUE
107,3,72,0.39,FALSE,TRUE
108,4,28,0.81,FALSE,FALSE
109,1,9,0.63,TRUE,TRUE
110,2,7,0.48,TRUE,TRUE
111,2,83,0.63,TRUE,TRUE
112,4,98,0.78,TRUE,FALSE
113,4,54,0.29,FALSE,TRUE
114,3,93,0.25,FALSE,TRUE
115,3,53,0.39,FALSE,FALSE
116,5,27,0.29,TRUE,FALSE
117,4,53,0.22,FALSE,TRUE
118,1,51,0.29,FALSE,FALSE
119,3,53,0.77,FALSE,TRUE
120,1,100,0.65,FALSE,FALSE
121,1,22,0.79,TRUE,FALSE
122,4,48,0.18,TRUE,TRUE
123,4,48,0.78,TRUE,FALSE
124,3,41,0.29,FALSE,FALSE
125,4,47,0.83,FALSE,FALSE
126,4,38,0.44,TRUE,TRUE
127,3,54,0.71,TRUE,TRUE
128,1,88,0.63,FALSE,TRUE
129,3,9,0.67,TRUE,TRUE
130,4,13,0.22,FALSE,TRUE
131,1,52,0.42,TRUE,TRUE
132,5,33,0.87,TRUE,FALSE
133,4,100,0.25,TRUE,FALSE
134,5,96,0.67,TRUE,FALSE
135,1,25,0.48,TRUE,TRUE
136,3,65,0.43,TRUE,FALSE
137,1,40,0.22,FALSE,FALSE
138,4,50,0.77,FALSE,FALSE
139,3,99,0.87,TRUE,TRUE
140,1,26,0.39,FALSE,TRUE
141,4,44,0.29,FALSE,FALSE
142,5,49,0.28,FALSE,FALSE
143,3,94,0.25,FALSE,FALSE
144,1,30,0.67,TRUE,FALSE
145,1,54,0.63,FALSE,FALSE
146,5,43,0.22,FALSE,FALSE
147,3,69,0.18,TRUE,FALSE
148,3,82,0.22,FALSE,FALSE
149,5,35,0.44,TRUE,TRUE
150,3,74,0.18,TRUE,TRUE
151,3,3,0.63,TRUE,FALSE
152,1,2,0.25,TRUE,TRUE
153,3,43,0.78,TRUE,TRUE
154,2,77,0.56,FALSE,FALSE
155,5,36,0.39,FALSE,FALSE
156,3,77,0.63,FALSE,TRUE
157,5,28,0.63,TRUE,FALSE
158,1,28,0.18,TRUE,TRUE
159,4,73,0.18,TRUE,TRUE
160,2,31,0.72,TRUE,TRUE
161,4,84,0.39,FALSE,TRUE
162,4,84,0.22,FALSE,TRUE
163,2,70,0.14,TRUE,TRUE
164,2,50,0.22,FALSE,FALSE
165,4,70,0.3,FALSE,FALSE
166,4,62,0.81,FALSE,TRUE
167,5,61,0.39,TRUE,TRUE
168,3,28,0.72,TRUE,FALSE
169,5,14,0.67,TRUE,TRUE
170,4,70,0.28,FALSE,TRUE
171,1,26,0.77,FALSE,FALSE
172,5,32,0.78,TRUE,TRUE
173,2,69,0.7,TRUE,TRUE
174,5,46,0.22,FALSE,TRUE
175,2,2,0.87,TRUE,FALSE
176,5,41,0.48,FALSE,FALSE
